{'start_at': '2020-01-19 00:00:00', 'end_at': '2020-01-20 00:00:00', 'session time': 44.73598909378052, 'num of subs': 164, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 44.18353796005249, 'persisted submissions in': 0.5520999431610107}
{'start_at': '2020-01-20 00:00:00', 'end_at': '2020-01-21 00:00:00', 'session time': 0.20187091827392578, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.2016770839691162, 'persisted submissions in': 2.3126602172851562e-05}
{'start_at': '2020-01-21 00:00:00', 'end_at': '2020-01-22 00:00:00', 'session time': 49.19611191749573, 'num of subs': 326, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 48.19121789932251, 'persisted submissions in': 1.0046191215515137}
{'start_at': '2020-01-22 00:00:00', 'end_at': '2020-01-23 00:00:00', 'session time': 54.86507701873779, 'num of subs': 383, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 53.691566705703735, 'persisted submissions in': 1.1733477115631104}
{'start_at': '2020-01-04 00:00:00', 'end_at': '2020-01-05 00:00:00', 'session time': 202.4818880558014, 'num of subs': 122, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 202.09583115577698, 'persisted submissions in': 0.38590526580810547}
{'start_at': '2020-01-05 00:00:00', 'end_at': '2020-01-06 00:00:00', 'session time': 0.1825547218322754, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.1823742389678955, 'persisted submissions in': 1.2874603271484375e-05}
{'start_at': '2020-01-23 00:00:00', 'end_at': '2020-01-24 00:00:00', 'session time': 50.8603310585022, 'num of subs': 308, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 49.90582227706909, 'persisted submissions in': 0.9543631076812744}
{'start_at': '2020-01-24 00:00:00', 'end_at': '2020-01-25 00:00:00', 'session time': 0.49070096015930176, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.49039721488952637, 'persisted submissions in': 2.384185791015625e-05}
{'start_at': '2020-01-25 00:00:00', 'end_at': '2020-01-26 00:00:00', 'session time': 0.18132376670837402, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.18096160888671875, 'persisted submissions in': 2.9325485229492188e-05}
{'start_at': '2020-01-26 00:00:00', 'end_at': '2020-01-27 00:00:00', 'session time': 0.21529698371887207, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.21492624282836914, 'persisted submissions in': 2.8848648071289062e-05}
{'start_at': '2020-01-27 00:00:00', 'end_at': '2020-01-28 00:00:00', 'session time': 0.2022719383239746, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.20198798179626465, 'persisted submissions in': 1.71661376953125e-05}
{'start_at': '2020-01-28 00:00:00', 'end_at': '2020-01-29 00:00:00', 'session time': 0.11079287528991699, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.1105508804321289, 'persisted submissions in': 1.5020370483398438e-05}
{'start_at': '2020-01-06 00:00:00', 'end_at': '2020-01-07 00:00:00', 'session time': 100.0062608718872, 'num of subs': 186, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 99.37829208374023, 'persisted submissions in': 0.6277492046356201}
{'start_at': '2020-01-29 00:00:00', 'end_at': '2020-01-30 00:00:00', 'session time': 82.03735089302063, 'num of subs': 496, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 80.47662806510925, 'persisted submissions in': 1.5605251789093018}
{'start_at': '2020-01-07 00:00:00', 'end_at': '2020-01-08 00:00:00', 'session time': 50.1846399307251, 'num of subs': 315, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 49.237422943115234, 'persisted submissions in': 0.9470491409301758}
{'start_at': '2020-01-08 00:00:00', 'end_at': '2020-01-09 00:00:00', 'session time': 0.1835336685180664, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.1833653450012207, 'persisted submissions in': 1.3828277587890625e-05}
{'start_at': '2020-01-09 00:00:00', 'end_at': '2020-01-10 00:00:00', 'session time': 0.8516032695770264, 'num of subs': 295, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002383708953857422, 'persisted submissions in': 0.8490359783172607}
{'start_at': '2020-01-10 00:00:00', 'end_at': '2020-01-11 00:00:00', 'session time': 0.6554477214813232, 'num of subs': 224, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0022859573364257812, 'persisted submissions in': 0.6530168056488037}
{'start_at': '2020-01-11 00:00:00', 'end_at': '2020-01-12 00:00:00', 'session time': 0.36196112632751465, 'num of subs': 123, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0023050308227539062, 'persisted submissions in': 0.3595120906829834}
{'start_at': '2020-01-12 00:00:00', 'end_at': '2020-01-13 00:00:00', 'session time': 0.0023179054260253906, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0021660327911376953, 'persisted submissions in': 5.9604644775390625e-06}
{'start_at': '2020-01-13 00:00:00', 'end_at': '2020-01-14 00:00:00', 'session time': 0.8988947868347168, 'num of subs': 314, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0020639896392822266, 'persisted submissions in': 0.8967196941375732}
{'start_at': '2020-01-14 00:00:00', 'end_at': '2020-01-15 00:00:00', 'session time': 0.8664772510528564, 'num of subs': 300, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002402067184448242, 'persisted submissions in': 0.8639318943023682}
{'start_at': '2020-01-15 00:00:00', 'end_at': '2020-01-16 00:00:00', 'session time': 0.8590390682220459, 'num of subs': 296, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0023140907287597656, 'persisted submissions in': 0.8565800189971924}
{'start_at': '2020-01-16 00:00:00', 'end_at': '2020-01-17 00:00:00', 'session time': 0.8702261447906494, 'num of subs': 296, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0023360252380371094, 'persisted submissions in': 0.8677420616149902}
{'start_at': '2020-01-17 00:00:00', 'end_at': '2020-01-18 00:00:00', 'session time': 0.0024118423461914062, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0022640228271484375, 'persisted submissions in': 5.9604644775390625e-06}
{'start_at': '2020-01-18 00:00:00', 'end_at': '2020-01-19 00:00:00', 'session time': 0.0017299652099609375, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0016179084777832031, 'persisted submissions in': 5.0067901611328125e-06}
{'start_at': '2020-01-19 00:00:00', 'end_at': '2020-01-20 00:00:00', 'session time': 0.47046422958374023, 'num of subs': 164, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0019240379333496094, 'persisted submissions in': 0.46840596199035645}
{'start_at': '2020-01-20 00:00:00', 'end_at': '2020-01-21 00:00:00', 'session time': 0.0022161006927490234, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0020673274993896484, 'persisted submissions in': 5.7220458984375e-06}
